"COD_Ateneo";"NomeEsteso";"NomeOperativo";"Status";"Tipologia";"StataleLibera";"VIA";"COMUNE";"PROVINCIA";"REGIONE";"NOME_REGIONE_MACRO_ISTAT";"URL";"Ateneo_dimensione"
"07001";"Università degli studi del Molise";"Molise";"Attivo    ";"Università";"Statale   ";"Via de Sanctis, s.n. II Edificio Polif.";"CAMPOBASSO";"CAMPOBASSO";"MOLISE";"SUD";"www.unimol.it";"inferiore a 10.000"
"07101";"Università degli studi di Foggia";"Foggia";"Attivo    ";"Università";"Statale   ";"Via Gramsci, 89/91";"FOGGIA";"FOGGIA";"PUGLIA";"SUD";"www.unifg.it";"da 10.000 a 19.999"
"07201";"Università degli studi di Bari";"Bari";"Attivo    ";"Università";"Statale   ";"P.zza Umberto I, 1 Palazzo Ateneo";"BARI";"BARI";"PUGLIA";"SUD";"www.uniba.it";"da 30.000 a 59.999"
"07202";"Politecnico di Bari";"Bari Politecnico";"Attivo    ";"Politecnico";"Statale   ";"Via Amendola, 126/B";"BARI";"BARI";"PUGLIA";"SUD";"www.poliba.it";"da 10.000 a 19.999"
"07203";"Libera Università Mediterranea LUM ""Giuseppe Degennaro""";"Casamassima - G.Degennaro";"Attivo    ";"Università";"Non Statale";"S.S. 100 Km 18";"CASAMASSIMA";"BARI";"PUGLIA";"SUD";"www.lum.it";"inferiore a 10.000"
"07501";"Università del Salento";"Salento";"Attivo    ";"Università";"Statale   ";"piazza Tancredi,7";"LECCE";"LECCE";"PUGLIA";"SUD";"www.unisalento.it";"da 10.000 a 19.999"
"07601";"Università degli studi della Basilicata";"Basilicata";"Attivo    ";"Università";"Statale   ";"Via Nazario Sauro, 85";"POTENZA";"POTENZA";"BASILICATA";"SUD";"www.unibas.it";"inferiore a 10.000"
"07801";"Università della Calabria";"Calabria";"Attivo    ";"Università";"Statale   ";"Via Pietro Bucci";"RENDE";"COSENZA";"CALABRIA";"SUD";"www.unical.it";"da 20.000 a 29.999"
"07901";"Università degli studi di Catanzaro - Magna Grecia";"Catanzaro";"Attivo    ";"Università";"Statale   ";"Viale Europa - Loc. GERMANETO";"CATANZARO";"CATANZARO";"CALABRIA";"SUD";"www.unicz.it";"da 10.000 a 19.999"
"08001";"Università degli studi Mediterranea di Reggio Calabria";"Reggio Calabria";"Attivo    ";"Università";"Statale   ";"Cittadella Universitaria-Salita Melissari";"REGGIO DI CALABRIA";"REGGIO CALABRIA";"CALABRIA";"SUD";"www.unirc.it";"inferiore a 10.000"
"08003";"Università per stranieri ""Dante Alighieri"" di Reggio Calabria";"Reggio Calabria - Dante Alighieri";"Attivo    ";"Università";"Non Statale";"Via Torrione, 95";"REGGIO DI CALABRIA";"REGGIO CALABRIA";"CALABRIA";"SUD";"www.unistrada.it";"inferiore a 10.000"
"08201";"Università degli studi di Palermo";"Palermo";"Attivo    ";"Università";"Statale   ";"P.zza della Marina, 61 Pal. Steri";"PALERMO";"PALERMO";"SICILIA";"ISOLE";"www.unipa.it";"da 30.000 a 59.999"
"08202";"Istituto Superiore di Educazione Fisica di Palermo";"Palermo ISEF";"Non attivo";"ISEF";"Non Statale";;"PALERMO";"PALERMO";"SICILIA";"ISOLE";;
"08301";"Università degli studi di Messina";"Messina";"Attivo    ";"Università";"Statale   ";"P.zza S. Pugliatti, 1";"MESSINA";"MESSINA";"SICILIA";"ISOLE";"www.unime.it";"da 20.000 a 29.999"
"08601";"Libera Università della Sicilia Centrale ""KORE"" di Enna";"Enna KORE";"Attivo    ";"Università";"Non Statale";"Via delle Olimpiadi, 4";"ENNA";"ENNA";"SICILIA";"ISOLE";"www.unikore.it";"inferiore a 10.000"
"08701";"Università degli studi di Catania";"Catania";"Attivo    ";"Università";"Statale   ";"P.zza dell'Universita',2";"CATANIA";"CATANIA";"SICILIA";"ISOLE";"www.unict.it";"da 30.000 a 59.999"
"09001";"Università degli studi di Sassari";"Sassari";"Attivo    ";"Università";"Statale   ";"P.zza dell'Universita', 21";"SASSARI";"SASSARI";"SARDEGNA";"ISOLE";"www.uniss.it";"da 10.000 a 19.999"
"09201";"Università degli studi di Cagliari";"Cagliari";"Attivo    ";"Università";"Statale   ";"Via Universita', 40";"CAGLIARI";"CAGLIARI";"SARDEGNA";"ISOLE";"www.unica.it";"da 20.000 a 29.999"
